epoch,dice_coef,loss,lr,val_dice_coef,val_loss
0,0.2612079083919525,0.7387920618057251,1e-04,0.3273259401321411,0.6726740002632141
1,0.4815295338630676,0.5184704065322876,1e-04,0.37866392731666565,0.621336042881012
2,0.5657802820205688,0.43421974778175354,1e-04,0.5442091226577759,0.4557906985282898
3,0.622470498085022,0.3775289058685303,1e-04,0.5941416025161743,0.4058583080768585
4,0.6528910994529724,0.3471090793609619,1e-04,0.07136300951242447,0.9286372661590576
5,0.6622551083564758,0.33774489164352417,1e-04,0.6288726329803467,0.37112730741500854
6,0.6900906562805176,0.30990931391716003,1e-04,0.5833777785301208,0.41662248969078064
7,0.7127569317817688,0.2872428596019745,1e-04,0.6375249028205872,0.36247488856315613
8,0.7194787263870239,0.2805215120315552,1e-04,0.5879746079444885,0.4120253324508667
9,0.7292771339416504,0.27072346210479736,1e-04,0.6347286701202393,0.36527127027511597
